Country,Year,avg_goldstein,avg_tone,total_mentions,total_articles,event_count,ActionGeo_CountryCode
France,2004,0.8214461496213523,5.31618945632659,424625,421242,94679,FR
France,2005,0.7373363567649289,5.256617663431849,290400,288128,66150,FR
France,2006,0.6339452651973843,5.355152956850843,515540,303249,103225,FR
France,2007,0.7950881470275776,5.516094160751407,1195038,883323,204261,FR
France,2008,0.9343985458277467,5.193304630811434,1733790,1465142,276721,FR
France,2009,0.8533979504630688,5.147940789616812,2792819,2576104,387307,FR
France,2010,0.7666633813098102,5.257117497517974,2855203,2655101,324673,FR
France,2011,0.6371929051217468,5.47289471237558,4512932,4286807,476400,FR
France,2012,0.5528557461154784,4.99580670154648,5166462,4969377,483779,FR
France,2013,0.40942610506224786,2.2407400541321323,5418161,5351480,576351,FR
France,2014,0.5229420029628872,2.297535742643151,7070063,6975571,706766,FR
France,2015,0.34855313615058364,-1.6112166869204017,20245407,19835201,1231111,FR
France,2016,0.3908690663154387,-2.283118645625698,15896032,15618820,1087557,FR
France,2017,0.8121446061760305,-1.6231217617008322,15029069,14720574,911527,FR
France,2018,0.6983296877375569,-1.875172375678184,12220102,11929262,815597,FR
France,2019,0.8387189779391591,-1.7258510372915186,11271442,11015939,783518,FR
France,2020,0.7150535816790448,-2.4007588821341,7450644,7328516,567925,FR
France,2021,0.8401419621971881,-1.705473029346185,6642737,6536881,520707,FR
France,2022,1.0311616648971815,-1.4927738480185735,4710950,4636599,434222,FR
France,2023,0.8056358683909207,-1.4399123725978336,7186469,7033435,587773,FR
France,2024,0.9257445105612977,-1.3234747624825893,6394832,6236874,574742,FR
France,2025,1.0484336994032109,-1.3835124286710931,5609054,5487155,508556,FR
Germany,1980,1.1877208099956922,5.049129568852205,32976,32786,9284,GM
Germany,1981,0.5013803096164112,4.965042970790326,47610,47443,13113,GM
Germany,1982,0.6840712694877503,4.993620505927019,41606,41348,11225,GM
Germany,1983,0.4390918828850275,4.771874682576668,63652,63349,16804,GM
Germany,1984,0.864823759120337,4.794113780122634,72108,71762,19462,GM
Germany,1985,0.5984747007734519,4.87499639740073,87533,86792,23143,GM
Germany,1986,0.43692044790214485,4.549238841205817,80175,79606,22237,GM
Germany,1987,0.7250591206060358,4.6311282871111885,91539,90841,24949,GM
Germany,1988,0.7737785251020901,4.295490713072199,74622,74149,20815,GM
Germany,1989,1.0074848408287003,5.12378693117025,125521,124557,31664,GM
Germany,1990,1.2722568678243633,5.4396641633539,132555,131215,31269,GM
Germany,1991,1.0086918551204263,4.937237379691801,110128,109210,21756,GM
Germany,1992,0.8840078917700115,4.7309368057466585,73918,73311,17740,GM
Germany,1993,0.5589783281733745,4.67971474720866,98417,97824,22610,GM
Germany,1994,0.5720430107526879,4.852247335127228,122177,120441,28923,GM
Germany,1995,0.833499709411644,4.975835843650308,110754,108736,29251,GM
Germany,1996,0.8900510265194165,5.116236480994126,180778,177987,41743,GM
Germany,1997,1.0784656562847612,5.297272762331435,252222,248862,57536,GM
Germany,1998,1.0798005759762177,5.380356168318618,320181,318046,64586,GM
Germany,1999,1.1714920665846738,5.514756429618372,411149,405336,82121,GM
Germany,2000,1.099297865053088,5.519257383358605,345928,324254,70072,GM
Germany,2001,1.0117933763228868,5.3711180999708805,331779,328695,73041,GM
Germany,2002,0.8951776601954547,5.194944980055595,221940,220406,53107,GM
Germany,2003,1.0466659404403655,5.493945754425123,342234,340029,73439,GM
Germany,2004,1.1232726034394684,5.438796899065816,255433,253554,58730,GM
Germany,2005,1.098058252427185,5.583780122108687,217264,215687,50161,GM
Germany,2006,1.280762732866512,5.327421207608376,434413,256981,88786,GM
Germany,2007,0.882865780933625,5.3328126709100925,1045934,802422,180265,GM
Germany,2008,1.0473790602165451,5.3361996746643126,1171207,1034648,187490,GM
Germany,2009,1.0785436850282295,5.387975865718741,2339857,2193143,316676,GM
Germany,2010,1.0441902647780736,5.499035853537435,2307758,2177578,268489,GM
Germany,2011,0.9756818340868053,5.548069942342968,3303696,3158935,357235,GM
Germany,2012,1.208078516205285,5.293438292369587,3606301,3478223,368892,GM
Germany,2013,1.3591566055258881,2.561914760170157,3517029,3468772,379025,GM
Germany,2014,1.1552930964574923,2.451046962526057,4936532,4848791,508065,GM
Germany,2015,1.2639383287925228,-1.627412185299743,12604764,12353155,885929,GM
Germany,2016,0.6837832710631035,-2.4297023703416842,12249969,12028561,901351,GM
Germany,2017,0.891274844340685,-1.8851956138045318,10616664,10412502,825847,GM
