Country,Year,Spending
Egypt,1998,0.026593832909436916
Egypt,1999,0.025697674781427576
Egypt,2000,0.02551265139827389
Egypt,2001,0.029855685603380682
Egypt,2002,0.032784547965037374
Egypt,2003,0.03177285270097256
Egypt,2004,0.028775312365359743
Egypt,2005,0.02714220406576055
Egypt,2006,0.026062186026133066
Egypt,2007,0.02379634675097092
Egypt,2008,0.02180785485370161
Egypt,2009,0.02032645043072253
Egypt,2010,0.019529670517452916
Egypt,2011,0.01837025511376185
Egypt,2012,0.016481757926792857
Egypt,2013,0.01610056976994195
Egypt,2014,0.016896948356807513
Egypt,2015,0.017231474282908468
Egypt,2016,0.01666605152432273
Egypt,2017,0.014220317002881844
Egypt,2018,0.012499661964213277
Egypt,2019,0.011809717968471092
Egypt,2020,0.011224755033239863
Egypt,2021,0.011220092714315366
Egypt,2022,0.010147559655952066
Egypt,2023,0.008089187070931645
Egypt,2024,0.006667691705579795
Egypt,2025,0.006055802166128685
France,1980,0.03155205084919151
France,1981,0.032461326104641634
France,1982,0.032238391338373036
France,1983,0.03237131774752253
France,1984,0.0318736925092314
France,1985,0.03143932802297262
France,1986,0.030857650157534593
France,1987,0.031204516051351695
France,1988,0.030003405890704233
France,1989,0.02917834658735072
France,1990,0.028446395949775855
France,1991,0.02849219253422084
France,1992,0.027275681658862894
France,1993,0.02721684413845939
France,1994,0.026907323830696318
France,1995,0.025154222628015817
France,1996,0.024376632643491217
France,1997,0.023939569675418926
France,1998,0.022468089386267015
France,1999,0.021981532992230768
France,2000,0.020921890102630878
France,2001,0.02041484152809439
France,2002,0.020585726401816537
France,2003,0.021064709567845976
France,2004,0.021141663385940347
France,2005,0.02028137017327435
France,2006,0.019773774477567913
France,2007,0.019109577778942854
France,2008,0.01899345046791716
France,2009,0.02098777914530342
France,2010,0.01968643750394963
France,2011,0.01887946149814945
France,2012,0.01871544094632217
France,2013,0.018471164836185917
France,2014,0.01859529065568988
France,2015,0.018697326820440213
France,2016,0.01851718096161194
France,2017,0.01852308818790403
